Id	Type	BuyPrice	SellPrice
0	1	1	1
1	2	756	204
2	2	816	149
3	2	841	240
4	5	521	576
5	2	-713	197
6	4	641	691
7	2	876	221
8	2	-877	-824
9	4		372
10	2	956	-412
11	1	656	480
12	4	967	305
13	4	724	421
14	2	818	473
15	2	710	494
16	1	749	199
17	5	751	360
18	4	997	269
19	1	598	399
20	2	714	302
21	3	893	366
22	2	963	-198
23	4	904	227
24	2		291
25	5	725	267
26	5	940	175
27	3		147
28	3		426
29	2	-772	419
30	4	838	368
31	2		-157
32	5	973	105
33	2	800	228
34	1		385
35	5	538	243
36	1	868	484
37	1	677	328
38	5	534	112
39	5	910	165
40	5	828	323
41	4	792	400
42	5	890	-195
43	4	564	115
44	2	926	311
45	3	535	-243
46	3	589	178
47	5	736	
48	1	-595	220
49	2	847	106
50	5	705	289
51	4	627	448
52	3	906	117
53	4		-254
54	1	-924	475
55	2	798	-292
56	4	909	-428
57	4		193
58	2	917	288
59	2		334
60	4		440
61	1	995	347
62	2	781	
63	1	776	-383
64	5	580	475
65	3	501	175
66	1	530	302
67	1		421
68	3		490
69	2	-939	-352
70	2	662	110
71	3		-394
72	4	542	343
73	1	976	1005
74	3	1000	423
75	1	980	161
76	4		365
77	4	858	223
78	3	620	
79	5		170
80	3	578	
81	2		174
82	1	-513	210
83	3	661	351
84	1	771	-375
85	5	899	
86	5	724	734
87	5	832	-403
88	4	651	362
89	2		337
90	2	640	184
91	2	730	287
92	2	-634	499
93	5	823	917
94	1	-687	431
95	1	672	413
96	4	710	141
97	4	835	241
98	2	654	215
99	2	743	
100	2	545	328
101	2	678	
102	4	866	309
103	2	665	-326
104	2	762	309
105	5	516	252
106	3	536	631
107	2	939	
108	3	-679	-360
109	3	805	890
110	3	507	-313
111	3	950	201
112	3	979	270
113	4	673	427
114	3	744	441
115	1	585	172
116	3	577	295
117	4	651	473
118	2	845	113
119	4	504	
120	1	705	247
121	2	670	110
122	1	810	142
123	4	744	165
124	2	714	338
125	2	-812	326
126	2	893	490
127	4	-670	287
128	4	539	258
129	4	631	
130	1	582	488
131	1	-972	492
132	2	573	322
133	2	807	274
134	3	884	-100
135	5	961	
136	4	-867	-454
137	5		427
138	2	923	
139	4	688	148
140	2	-628	-550
141	2	580	361
142	4	-718	165
143	4	979	-347
144	1	761	333
145	4	549	118
146	1	909	286
147	2	944	470
148	5	-629	
149	3	527	297
150	4	989	
151	1	875	399
152	1	904	-129
153	3	786	
154	5	587	271
155	1		322
156	3	673	276
157	3	721	387
158	1	734	433
159	1	729	810
160	3	981	140
161	4	564	652
162	2	740	254
163	3	568	258
164	4	805	185
165	4	844	279
166	5	563	594
167	4		366
168	5		470
169	5	952	480
170	3	782	228
171	2		159
172	5	820	425
173	5		341
174	5	746	
175	3	508	562
176	2	544	305
177	5	792	138
178	3	-514	377
179	2	528	605
180	3	576	627
181	4	974	-280
182	5		295
183	1	988	1065
184	5	831	202
185	2	531	120
186	5	660	493
187	4		-469
188	5	751	806
189	5	986	210
190	4	779	-395
191	2	687	185
192	3	610	407
193	5		228
194	3	825	348
195	5		220
196	1	914	
197	2	761	-417
198	5	842	210
199	4	677	419
200	5	618	663
201	2	921	377
202	1	967	
203	2	828	488
